VEHICLE_TYPE,RTO_REGION,REGISTRATIONS,YEAR,MONTH,,,,,
Light Goods Four Wheeler,BNG EAST,9589,2020,SEPTEMBER,,,,,
Light Goods Four Wheeler,BNG NORTH,16306,2020,SEPTEMBER,,,,,
Light Goods Four Wheeler,BNG SOUTH,25088,2020,SEPTEMBER,,,,,
Light Goods Four Wheeler,KR Puram,17979,2020,SEPTEMBER,,,,,
Light Goods Four Wheeler,Jnana Bharati,12674,2020,SEPTEMBER,,,,,
Light Goods Four Wheeler,Electronic City,24718,2020,SEPTEMBER,,,,,
Light Goods Four Wheeler,Yelahanka,7036,2020,SEPTEMBER,,,,,
Light Goods Four Wheeler,Devanahalli,5078,2020,SEPTEMBER,,,,,
Light Goods Four Wheeler,Chandapura,15591,2020,SEPTEMBER,,,,,
Light Goods Three Wheeler,BNG CENTRAL,9049,2020,SEPTEMBER,,,,,
Light Goods Three Wheeler,BNG WEST,15485,2020,SEPTEMBER,,,,,
Light Goods Three Wheeler,BNG EAST,6767,2020,SEPTEMBER,,,,,
Light Goods Three Wheeler,BNG NORTH,6128,2020,SEPTEMBER,,,,,
Light Goods Three Wheeler,BNG SOUTH,11323,2020,SEPTEMBER,,,,,
Light Goods Three Wheeler,KR Puram,2173,2020,SEPTEMBER,,,,,
Light Goods Three Wheeler,Jnana Bharati,4567,2020,SEPTEMBER,,,,,
Light Goods Three Wheeler,Electronic City,3090,2020,SEPTEMBER,,,,,
Light Goods Three Wheeler,Yelahanka,1118,2020,SEPTEMBER,,,,,
Light Goods Three Wheeler,Devanahalli,746,2020,SEPTEMBER,,,,,
Light Goods Three Wheeler,Chandapura,815,2020,SEPTEMBER,,,,,
Multi Axled Articulated Vehicle,BNG CENTRAL,10927,2020,OCTOBER,,,,,
Multi Axled Articulated Vehicle,BNG WEST,304,2020,OCTOBER,,,,,
Multi Axled Articulated Vehicle,BNG EAST,727,2020,OCTOBER,,,,,
Multi Axled Articulated Vehicle,BNG NORTH,258,2020,OCTOBER,,,,,
Multi Axled Articulated Vehicle,BNG SOUTH,662,2020,OCTOBER,,,,,
Multi Axled Articulated Vehicle,KR Puram,589,2020,OCTOBER,,,,,
Multi Axled Articulated Vehicle,Jnana Bharati,106,2020,OCTOBER,,,,,
Multi Axled Articulated Vehicle,Electronic City,1009,2020,OCTOBER,,,,,
Multi Axled Articulated Vehicle,Yelahanka,15,2020,OCTOBER,,,,,
Multi Axled Articulated Vehicle,Devanahalli,57,2020,OCTOBER,,,,,
Multi Axled Articulated Vehicle,Chandapura,457,2020,OCTOBER,,,,,
Trucks and Lorries,BNG CENTRAL,56712,2020,OCTOBER,,,,,
Trucks and Lorries,BNG WEST,16733,2020,OCTOBER,,,,,
Trucks and Lorries,BNG EAST,10079,2020,OCTOBER,,,,,
Trucks and Lorries,BNG NORTH,12352,2020,OCTOBER,,,,,
Trucks and Lorries,BNG SOUTH,22844,2020,OCTOBER,,,,,
Trucks and Lorries,KR Puram,10385,2020,OCTOBER,,,,,
Trucks and Lorries,Jnana Bharati,6837,2020,OCTOBER,,,,,
Trucks and Lorries,Electronic City,16875,2020,OCTOBER,,,,,
Trucks and Lorries,Yelahanka,6107,2020,OCTOBER,,,,,
Trucks and Lorries,Devanahalli,4111,2020,OCTOBER,,,,,
Trucks and Lorries,Chandapura,8707,2020,OCTOBER,,,,,
Light Goods Four Wheeler,BNG CENTRAL,18456,2020,OCTOBER,,,,,
Light Goods Four Wheeler,BNG WEST,15965,2020,OCTOBER,,,,,
Light Goods Four Wheeler,BNG EAST,9647,2020,OCTOBER,,,,,
Light Goods Four Wheeler,BNG NORTH,16371,2020,OCTOBER,,,,,
Light Goods Four Wheeler,BNG SOUTH,25181,2020,OCTOBER,,,,,
Light Goods Four Wheeler,KR Puram,18079,2020,OCTOBER,,,,,
Light Goods Four Wheeler,Jnana Bharati,12737,2020,OCTOBER,,,,,
Light Goods Four Wheeler,Electronic City,24842,2020,OCTOBER,,,,,
Light Goods Four Wheeler,Yelahanka,7055,2020,OCTOBER,,,,,
Light Goods Four Wheeler,Devanahalli,5103,2020,OCTOBER,,,,,
Light Goods Four Wheeler,Chandapura,15607,2020,OCTOBER,,,,,
Light Goods Three Wheeler,BNG CENTRAL,9063,2020,OCTOBER,,,,,
Light Goods Three Wheeler,BNG WEST,15512,2020,OCTOBER,,,,,
Light Goods Three Wheeler,BNG EAST,6802,2020,OCTOBER,,,,,
Light Goods Three Wheeler,BNG NORTH,6146,2020,OCTOBER,,,,,
Light Goods Three Wheeler,BNG SOUTH,11336,2020,OCTOBER,,,,,
Light Goods Three Wheeler,KR Puram,2174,2020,OCTOBER,,,,,
Light Goods Three Wheeler,Jnana Bharati,4599,2020,OCTOBER,,,,,
Light Goods Three Wheeler,Electronic City,3171,2020,OCTOBER,,,,,
Light Goods Three Wheeler,Yelahanka,1125,2020,OCTOBER,,,,,
